,Volume m3,Ground Surface m2,Amount Buildings,Surface Build %,Surface Total,Inset 1,Inset 2,Inset 3,Inset 4,Inset 5,Inset 6,Inset 7,Inset 8,Inset 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Height 7,Height 8,Height 9,Roof 1,Roof 2,Roof 3,Roof 4,Roof 5,Roof 6,Roof 7,Roof 8,Roof 9,SL %,SVF %
1660,324.11,54.26,2,3.4,361.71,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,6.23,0,0,0,0,0,0,0,0,1,92.14,91.84
1661,1569.61,169.16,3,10.6,1204.05,0.0,0.48,0.54,0.0,0.0,0.0,0.0,0.66,0.0,0.0,11.85,10.72,0.0,0.0,0.0,0.0,6.96,0.0,0,0,1,0,0,0,0,0,0,75.91,79.84
1662,4665.71,654.13,7,40.9,3352.61,0.0,0.79,0.74,0.66,0.85,0.55,0.86,0.55,0.0,0.0,2.11,12.0,4.2,9.08,6.05,5.92,12.5,0.0,0,1,0,0,1,1,1,1,0,51.34,56.27
1663,4213.73,599.14,8,37.4,3171.87,0.65,0.31,0.8,0.41,0.65,0.5,0.0,0.83,0.83,5.14,9.05,3.99,12.11,2.87,7.34,0.0,11.89,7.18,1,0,1,1,0,0,0,1,0,52.24,53.95
1664,2949.23,349.88,6,21.9,2293.45,0.0,0.65,0.4,0.0,0.34,0.57,0.0,0.79,0.56,0.0,5.8,10.07,0.0,11.38,5.4,0.0,8.77,12.5,0,0,1,0,1,1,0,1,1,65.91,65.95
1665,2383.68,328.0,3,20.5,1609.6,0.82,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.83,12.74,0.0,6.4,0.0,0.0,0.0,0.0,0.0,2.52,0,0,1,0,0,0,0,0,1,71.31,78.44
1666,2304.26,239.76,3,15.0,1501.29,0.84,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.33,8.47,0.0,0.0,0.0,0.0,11.25,0.0,0.0,8.76,1,0,0,0,0,1,0,0,0,73.68,78.33
1667,4262.03,422.16,6,26.4,2908.49,0.62,0.59,0.64,0.62,0.0,0.76,0.0,0.51,0.0,13.64,12.48,9.29,6.91,0.0,9.39,0.0,9.13,0.0,1,0,0,1,0,0,0,1,0,48.76,58.7
1668,4604.31,553.37,7,34.6,3116.44,0.0,0.82,0.66,0.55,0.0,0.67,0.31,0.66,0.85,0.0,9.5,6.69,11.45,0.0,7.48,2.44,6.17,9.53,0,0,1,0,0,0,1,1,1,50.99,54.39
1669,162.78,45.95,1,2.9,198.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0,0,0,0,0,0,0,1,0,96.2,95.24
1670,3249.0,500.41,9,31.3,2848.13,0.85,0.85,0.48,0.33,0.5,0.42,0.35,0.38,0.58,6.93,2.7,10.31,4.82,4.86,4.78,13.56,9.9,9.73,1,0,1,1,1,0,1,0,1,49.46,55.79
1671,2202.31,291.97,5,18.2,1648.35,0.55,0.0,0.0,0.0,0.44,0.44,0.0,0.7,0.69,6.36,0.0,0.0,0.0,2.62,2.29,0.0,8.69,11.31,0,0,0,0,0,1,0,1,0,76.84,74.91
1672,3069.5,311.61,6,19.5,2180.42,0.52,0.67,0.0,0.49,0.33,0.31,0.0,0.0,0.77,6.11,13.62,0.0,4.37,5.2,11.09,0.0,0.0,11.51,1,0,0,0,0,1,0,0,1,62.33,67.18
1673,3502.0,298.86,4,18.7,2237.87,0.0,0.0,0.0,0.42,0.0,0.75,0.58,0.0,0.78,0.0,0.0,0.0,13.64,0.0,13.02,12.13,0.0,9.69,0,0,0,0,0,1,1,0,0,74.57,70.81
1674,5191.95,583.42,7,36.5,3348.42,0.3,0.71,0.45,0.88,0.67,0.0,0.0,0.89,0.68,6.8,5.53,12.75,10.62,6.24,0.0,0.0,10.63,8.05,0,0,0,0,1,0,0,0,1,51.16,53.6
